Player Name,Club,Goals,Assists,Position
Erling Haaland,Manchester City,27,5,Forward
Cole Palmer,Chelsea,22,11,Midfielder
Alexander Isak,Newcastle United,21,7,Forward
Mohamed Salah,Liverpool,20,8,Forward
Ollie Watkins,Aston Villa,19,13,Forward
Phil Foden,Manchester City,18,9,Midfielder
Dominic Solanke,AFC Bournemouth,17,6,Forward
Bukayo Saka,Arsenal,16,10,Midfielder
Son Heung-min,Tottenham Hotspur,15,7,Forward
James Maddison,Tottenham Hotspur,14,8,Midfielder
Darwin Nunez,Liverpool,13,4,Forward
Bruno Fernandes,Manchester United,12,9,Midfielder
Eberechi Eze,Crystal Palace,11,5,Midfielder
Jarrod Bowen,West Ham United,10,6,Forward
Gabriel Jesus,Arsenal,9,4,Forward
Marcus Rashford,Manchester United,8,3,Forward
Raheem Sterling,Chelsea,7,5,Forward
Ivan Toney,Brentford,6,2,Forward
Kai Havertz,Arsenal,5,4,Midfielder
Kevin De Bruyne,Manchester City,4,12,Midfielder
Trent Alexander-Arnold,Liverpool,3,11,Defender
Kieran Trippier,Newcastle United,2,10,Defender
James Ward-Prowse,West Ham United,1,9,Midfielder
Jeremy Doku,Manchester City,0,8,Forward
Pedro Neto,Wolverhampton Wanderers,0,7,Forward
